State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Whole Year,330,7617,23.08,485,17969,37.05,524,16737,31.94,521,17915,34.39,379,15885,41.91,370,15580,42.11,,,,572,29592,51.73,416,20510,49.3,233,6690,28.71,502,12428,24.76,,,,698,25726,36.86,611,36025,58.96,590,39315,66.64,392,17102,43.63,162,8695,53.67,117,7540,64.44,6,354,59,63,3817,60.59,7,384,54.86,39,2233,57.26,29,2136,73.66
Total (Sugarcane),,330,7617,23.08,485,17969,37.05,524,16737,31.94,521,17915,34.39,379,15885,41.91,370,15580,42.11,,,0,572,29592,51.73,416,20510,49.3,233,6690,28.71,502,12428,24.76,,,0,698,25726,36.86,611,36025,58.96,590,39315,66.64,392,17102,43.63,162,8695,53.67,117,7540,64.44,6,354,59,63,3817,60.59,7,384,54.86,39,2233,57.26,29,2136,73.66
29. Sunflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,53,82,1.55,35,40,1.14,34,45,1.32,29,36,1.24,28,41,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1.33,,,,3,4,1.33,2,3,1.5,3,4,1.33,1,1,1,2,3,1.5,2,3,1.5,,,,,,,,,,,,,,,,,,
,Total,53,82,1.55,35,40,1.14,34,45,1.32,29,36,1.24,28,41,1.46,,,0,,,0,,,0,,,0,3,4,1.33,,,0,3,4,1.33,2,3,1.5,3,4,1.33,1,1,1,2,3,1.5,2,3,1.5,,,0,,,0,,,0,,,0,,,0,,,0
Total (Sunflower),,53,82,1.55,35,40,1.14,34,45,1.32,29,36,1.24,28,41,1.46,,,0,,,0,,,0,,,0,3,4,1.33,,,0,3,4,1.33,2,3,1.5,3,4,1.33,1,1,1,2,3,1.5,2,3,1.5,,,0,,,0,,,0,,,0,,,0,,,0
30. Sweet potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Whole Year,7,85,12.14,12,124,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Sweet potato),,7,85,12.14,12,124,10.33,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
31. Urad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,,,,,,,216,160,0.74,279,286,1.03,298,231,0.78,183,162,0.89,11,9,0.82,141,140,0.99,6,5,0.83,,,,,,,,,,,,,,,,5,4,0.8,,,,,,,,,,,,,,,,,,
Total (Urad),,,,0,,,0,,,0,,,0,216,160,0.74,279,286,1.03,298,231,0.78,183,162,0.89,11,9,0.82,141,140,0.99,6,5,0.83,,,0,,,0,,,0,,,0,,,0,5,4,0.8,,,0,,,0,,,0,,,0,,,0,,,0
32. Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,45742,131621,2.88,46633,113817,2.44,46647,127040,2.72,45684,126276,2.76,65969,123090,1.87,62194,121865,1.96,60699,123162,2.03,82686,245100,2.96,77606,221389,2.85,76182,171685,2.25,82831,242903,2.93,81678,248254,3.04,80302,218296,2.72,76680,229524,2.99,79483,125280,1.58,90524,245576,2.71,82733,278859,3.37,78758,272226,3.46,80116,265500,3.31,84574,231773,2.74,77206,259165,3.36,85163,305883,3.59,84307,283791,3.37
Total (Wheat),,45742,131621,2.88,46633,113817,2.44,46647,127040,2.72,45684,126276,2.76,65969,123090,1.87,62194,121865,1.96,60699,123162,2.03,82686,245100,2.96,77606,221389,2.85,76182,171685,2.25,82831,242903,2.93,81678,248254,3.04,80302,218296,2.72,76680,229524,2.99,79483,125280,1.58,90524,245576,2.71,82733,278859,3.37,78758,272226,3.46,80116,265500,3.31,84574,231773,2.74,77206,259165,3.36,85163,305883,3.59,84307,283791,3.37
