State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,98,75,0.77,104,57,0.55,96,56,0.58,96,55,0.57,53,29,0.55,58,34,0.59,51,30,0.59,59,38,0.64,4,3,0.75,52,34,0.65,47,31,0.66,2,1,0.5,1,1,1,,,,,,,,,,3,2,0.67,,,,,,,,,,,,,,,,,,
,Summer,,,,,,,,,,,,,,,,15,9,0.6,15,8,0.53,,,,15,10,0.67,,,,,,,131,79,0.6,76,47,0.62,131,88,0.67,29,17,0.59,79,43,0.54,16,11,0.69,10,7,0.7,19,13,0.68,31,21,0.68,31,35,1.13,27,19,0.7,25,24,0.96
,Total,98,75,0.77,104,57,0.55,96,56,0.58,96,55,0.57,53,29,0.55,73,43,0.59,66,38,0.58,59,38,0.64,19,13,0.68,52,34,0.65,47,31,0.66,133,80,0.6,77,48,0.62,131,88,0.67,29,17,0.59,79,43,0.54,19,13,0.68,10,7,0.7,19,13,0.68,31,21,0.68,31,35,1.13,27,19,0.7,25,24,0.96
Total (Moong(Green Gram)),,98,75,0.77,104,57,0.55,96,56,0.58,96,55,0.57,53,29,0.55,73,43,0.59,66,38,0.58,59,38,0.64,19,13,0.68,52,34,0.65,47,31,0.66,133,80,0.6,77,48,0.62,131,88,0.67,29,17,0.59,79,43,0.54,19,13,0.68,10,7,0.7,19,13,0.68,31,21,0.68,31,35,1.13,27,19,0.7,25,24,0.96
16. Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,6814,12.06,513,13404,26.13,436,6604,15.15,469,6255,13.34,430,5307,12.34,376,3634,9.66,322,3863,12
,Whole Year,174,2102,12.08,234,2476,10.58,134,1292,9.64,124,1586,12.79,203,1918,9.45,871,7438,8.54,,,,1071,10678,9.97,844,7216,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,174,2102,12.08,234,2476,10.58,134,1292,9.64,124,1586,12.79,203,1918,9.45,871,7438,8.54,,,0,1071,10678,9.97,844,7216,8.55,,,0,,,0,,,0,,,0,,,0,,,0,,,0,565,6814,12.06,513,13404,26.13,436,6604,15.15,469,6255,13.34,430,5307,12.34,376,3634,9.66,322,3863,12
Total (Onion),,174,2102,12.08,234,2476,10.58,134,1292,9.64,124,1586,12.79,203,1918,9.45,871,7438,8.54,,,0,1071,10678,9.97,844,7216,8.55,,,0,,,0,,,0,,,0,,,0,,,0,,,0,565,6814,12.06,513,13404,26.13,436,6604,15.15,469,6255,13.34,430,5307,12.34,376,3634,9.66,322,3863,12
17. Other Rabi pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
